date,store_id,sku,units,revenue
2026-06-17,S001,LATTE_BEAN,4,160
2026-06-18,S001,LATTE_BEAN,5,200
2026-06-19,S001,LATTE_BEAN,5,200
2026-06-20,S001,LATTE_BEAN,6,240
2026-06-21,S001,LATTE_BEAN,8,320
2026-06-22,S001,LATTE_BEAN,9,360
2026-06-23,S001,LATTE_BEAN,10,400
2026-06-24,S001,LATTE_BEAN,11,440
2026-06-17,S001,OAT_MILK,3,45
2026-06-18,S001,OAT_MILK,3,45
2026-06-19,S001,OAT_MILK,4,60
2026-06-20,S001,OAT_MILK,4,60
2026-06-21,S001,OAT_MILK,7,105
2026-06-22,S001,OAT_MILK,8,120
2026-06-23,S001,OAT_MILK,8,120
2026-06-24,S001,OAT_MILK,9,135
2026-06-17,S001,COLD_BREW_BOTTLE,14,280
2026-06-18,S001,COLD_BREW_BOTTLE,13,260
2026-06-19,S001,COLD_BREW_BOTTLE,12,240
2026-06-20,S001,COLD_BREW_BOTTLE,10,200
2026-06-21,S001,COLD_BREW_BOTTLE,6,120
2026-06-22,S001,COLD_BREW_BOTTLE,5,100
2026-06-23,S001,COLD_BREW_BOTTLE,5,100
2026-06-24,S001,COLD_BREW_BOTTLE,4,80
2026-06-17,S001,CERAMIC_MUG,1,18
2026-06-18,S001,CERAMIC_MUG,0,0
2026-06-19,S001,CERAMIC_MUG,1,18
2026-06-20,S001,CERAMIC_MUG,0,0
2026-06-21,S001,CERAMIC_MUG,0,0
2026-06-22,S001,CERAMIC_MUG,1,18
2026-06-23,S001,CERAMIC_MUG,0,0
2026-06-24,S001,CERAMIC_MUG,0,0
2026-06-21,S001,MATCHA_POWDER,3,90
2026-06-22,S001,MATCHA_POWDER,3,90
2026-06-23,S001,MATCHA_POWDER,4,120
2026-06-24,S001,MATCHA_POWDER,4,120
2026-06-21,S001,CROISSANT,12,180
2026-06-22,S001,CROISSANT,13,195
2026-06-23,S001,CROISSANT,11,165
2026-06-24,S001,CROISSANT,12,180
2026-06-21,S002,LATTE_BEAN,6,240
2026-06-22,S002,LATTE_BEAN,7,280
2026-06-23,S002,LATTE_BEAN,7,280
2026-06-24,S002,LATTE_BEAN,8,320
2026-06-21,S002,OAT_MILK,5,75
2026-06-22,S002,OAT_MILK,6,90
2026-06-23,S002,OAT_MILK,6,90
2026-06-24,S002,OAT_MILK,7,105
